date,cash,market_value,equity
2025-10-31,1131.9764353937353,4848631.230712891,4849763.207148285
2025-11-03,1131.9764353937353,4877421.193603516,4878553.17003891
2025-11-04,1131.9764353937353,4701895.205444336,4703027.18187973
2025-11-05,1131.9764353937353,4707426.468383789,4708558.444819183
2025-11-06,1131.9764353937353,4756332.145629883,4757464.122065277
2025-11-07,1131.9764353937353,4714585.177612305,4715717.154047699
2025-11-10,1131.9764353937353,4743378.287963867,4744510.264399261
2025-11-11,1131.9764353937353,4649249.242553711,4650381.218989105
2025-11-12,1131.9764353937353,4680617.422241211,4681749.398676605
2025-11-13,1131.9764353937353,4799260.7763671875,4800392.7528025815
2025-11-14,1131.9764353937353,4716462.517089844,4717594.493525238
2025-11-17,1131.9764353937353,4684831.510498047,4685963.486933441
2025-11-18,1131.9764353937353,4636519.044677734,4637651.021113128
2025-11-19,1131.9764353937353,4718110.928100586,4719242.90453598
2025-11-20,1131.9764353937353,4960384.054931641,4961516.031367035
2025-11-21,1131.9764353937353,4731635.468017578,4732767.444452972
2025-11-24,1131.9764353937353,4898723.892822266,4899855.86925766
2025-11-25,1131.9764353937353,4977611.444091797,4978743.420527191
2025-11-26,1131.9764353937353,4898401.626831055,4899533.603266449
2025-11-27,1131.9764353937353,5151673.678955078,5152805.655390472
2025-11-28,1131.9764353937353,5323025.188232422,5324157.164667816
2025-12-01,1131.9764353937353,5076510.541381836,5077642.51781723
2025-12-02,1131.9764353937353,5049155.420166016,5050287.39660141
2025-12-03,1131.9764353937353,5209172.039916992,5210304.016352386
2025-12-04,1131.9764353937353,5160159.239868164,5161291.216303558
2025-12-05,1131.9764353937353,5246708.132446289,5247840.108881683
2025-12-08,1131.9764353937353,5276326.533325195,5277458.509760589
2025-12-09,1131.9764353937353,5245526.572631836,5246658.54906723
2025-12-10,1131.9764353937353,5350878.134399414,5352010.110834808
2025-12-11,1131.9764353937353,5391708.381469727,5392840.357905121
2025-12-12,1131.9764353937353,5438984.7236328125,5440116.7000682065
2025-12-15,1131.9764353937353,5318411.124267578,5319543.100702972
2025-12-16,1131.9764353937353,5240244.855224609,5241376.831660003
2025-12-17,1131.9764353937353,5209895.97253418,5211027.948969574
2025-12-18,1131.9764353937353,5183349.508056641,5184481.484492035
2025-12-19,1131.9764353937353,5224299.79309082,5225431.769526214
2025-12-22,1131.9764353937353,5282657.834716797,5283789.811152191
2025-12-23,1131.9764353937353,5322263.442993164,5323395.419428558
2025-12-24,1131.9764353937353,5333080.143310547,5334212.119745941
2025-12-26,1131.9764353937353,5419786.91809082,5420918.894526214
2025-12-29,1131.9764353937353,5421938.778930664,5423070.755366058
2025-12-30,1131.9764353937353,5477352.216064453,5478484.192499847
2025-12-31,1131.9764353937353,5448028.3193359375,5449160.2957713315
2026-01-02,1131.9764353937353,5359749.510620117,5360881.487055511
2026-01-05,76.58265679364558,5289625.762573242,5289702.3452300355
2026-01-06,76.58265679364558,5355674.744995117,5355751.3276519105
2026-01-07,76.58265679364558,5532912.049560547,5532988.63221734
2026-01-08,76.58265679364558,5443205.076904297,5443281.65956109
2026-01-09,76.58265679364558,5527769.652954102,5527846.235610895
2026-01-12,76.58265679364558,5704819.067993164,5704895.650649957
2026-01-13,76.58265679364558,5658976.090087891,5659052.672744684
2026-01-14,76.58265679364558,5718087.369384766,5718163.952041559
2026-01-15,76.58265679364558,5672725.532470703,5672802.115127496
2026-01-16,76.58265679364558,5759687.575317383,5759764.157974176
2026-01-19,76.58265679364558,5752793.448730469,5752870.031387262
2026-01-20,76.58265679364558,5966570.363525391,5966646.946182184
2026-01-21,76.58265679364558,5915432.85168457,5915509.434341364
2026-01-22,76.58265679364558,6121553.771118164,6121630.353774957
2026-01-23,76.58265679364558,6223729.301391602,6223805.884048395
2026-01-26,76.58265679364558,6214311.405639648,6214387.988296442
2026-01-27,76.58265679364558,6244229.337402344,6244305.920059137
2026-01-28,76.58265679364558,6266432.932495117,6266509.5151519105
2026-01-29,76.58265679364558,6244358.466796875,6244435.049453668
2026-01-30,76.58265679364558,6167710.687988281,6167787.270645075
2026-02-02,76.58265679364558,6179206.434082031,6179283.016738825
